0000.000 (0) Opened log file at time: Sun, 23 Nov 2025 08:14:35 +0000 on http://localhost/9shop
0000.022 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.25.9 WP: 6.8.3 PHP: 8.2.12 (apache2handler, Windows NT LAPTOP-4HEJD7DA 10.0 build 26200 (Windows 11) AMD64) MySQL: 10.4.32-MariaDB (max packet size=1048576) WPLANG: en_US Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 141.2M | 146M) multisite: N openssl: OpenSSL 3.0.11 19 Sep 2023 mcrypt: N LANG:  WP Proxy: disabled ZipArchive::addFile: N
0000.026 (0) Free space on disk containing Updraft's temporary directory: 21001.6 MB
0000.032 (0) Tasks: Backup files: 1 (schedule: unset) Backup DB: 1 (schedule: unset)
0000.037 (0) Semaphore (fd, wp_options) being initialised
0000.048 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.063 (0) Set semaphore last lock (fd) time to 2025-11-23 08:14:36
0000.068 (0) Semaphore lock (fd) complete
0000.082 (0) Backup run: resumption=0, nonce=e689ee98beb1, file_nonce=e689ee98beb1 begun at=1763885675 (1s ago), job type=backup
0000.089 (0) Scheduling a resumption (1) after 300 seconds (1763885976) in case this run gets aborted
0000.104 (0) Checking if we have a zip executable available
0000.112 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.116 (0) Creation of backups of directories: beginning
0000.129 (0) Beginning creation of dump of plugins (split every: 400 MB)
0012.075 (0) Total entities for the zip file: 3239 directories, 20231 files (0 skipped as non-modified), 223.3 MB
0012.081 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 228610.7 KB, split: 409600 KB)
0013.237 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3300 files added (on-disk size: 0 KB)
0013.266 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3400 files added (on-disk size: 0 KB)
0013.298 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3500 files added (on-disk size: 0 KB)
0013.329 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3600 files added (on-disk size: 0 KB)
0013.358 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3700 files added (on-disk size: 0 KB)
0013.391 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3800 files added (on-disk size: 0 KB)
0013.420 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 3900 files added (on-disk size: 0 KB)
0013.449 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4000 files added (on-disk size: 0 KB)
0013.482 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4100 files added (on-disk size: 0 KB)
0013.599 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4200 files added (on-disk size: 0 KB)
0013.636 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4300 files added (on-disk size: 0 KB)
0013.676 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4400 files added (on-disk size: 0 KB)
0013.718 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4500 files added (on-disk size: 0 KB)
0013.778 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4600 files added (on-disk size: 0 KB)
0013.819 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4700 files added (on-disk size: 0 KB)
0013.856 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4800 files added (on-disk size: 0 KB)
0013.887 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 4900 files added (on-disk size: 0 KB)
0013.917 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5000 files added (on-disk size: 0 KB)
0013.948 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5100 files added (on-disk size: 0 KB)
0013.983 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5200 files added (on-disk size: 0 KB)
0014.012 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5300 files added (on-disk size: 0 KB)
0014.043 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5400 files added (on-disk size: 0 KB)
0014.077 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5500 files added (on-disk size: 0 KB)
0014.123 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5600 files added (on-disk size: 0 KB)
0014.157 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5700 files added (on-disk size: 0 KB)
0014.189 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5800 files added (on-disk size: 0 KB)
0014.218 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 5900 files added (on-disk size: 0 KB)
0014.252 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6000 files added (on-disk size: 0 KB)
0014.284 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6100 files added (on-disk size: 0 KB)
0014.313 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6200 files added (on-disk size: 0 KB)
0014.345 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6300 files added (on-disk size: 0 KB)
0014.377 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6400 files added (on-disk size: 0 KB)
0014.409 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6500 files added (on-disk size: 0 KB)
0014.440 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6600 files added (on-disk size: 0 KB)
0014.480 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6700 files added (on-disk size: 0 KB)
0014.517 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6800 files added (on-disk size: 0 KB)
0014.554 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 6900 files added (on-disk size: 0 KB)
0014.593 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7000 files added (on-disk size: 0 KB)
0014.626 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7100 files added (on-disk size: 0 KB)
0014.659 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7200 files added (on-disk size: 0 KB)
0014.693 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7300 files added (on-disk size: 0 KB)
0014.726 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7400 files added (on-disk size: 0 KB)
0014.761 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7500 files added (on-disk size: 0 KB)
0014.796 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7600 files added (on-disk size: 0 KB)
0014.826 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7700 files added (on-disk size: 0 KB)
0014.857 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7800 files added (on-disk size: 0 KB)
0014.896 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 7900 files added (on-disk size: 0 KB)
0014.931 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8000 files added (on-disk size: 0 KB)
0014.965 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8100 files added (on-disk size: 0 KB)
0014.999 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8200 files added (on-disk size: 0 KB)
0015.050 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8300 files added (on-disk size: 0 KB)
0015.093 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8400 files added (on-disk size: 0 KB)
0015.125 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8500 files added (on-disk size: 0 KB)
0015.157 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8600 files added (on-disk size: 0 KB)
0015.196 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8700 files added (on-disk size: 0 KB)
0015.240 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8800 files added (on-disk size: 0 KB)
0015.273 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 8900 files added (on-disk size: 0 KB)
0015.310 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9000 files added (on-disk size: 0 KB)
0015.353 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9100 files added (on-disk size: 0 KB)
0015.387 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9200 files added (on-disk size: 0 KB)
0015.424 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9300 files added (on-disk size: 0 KB)
0015.454 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9400 files added (on-disk size: 0 KB)
0015.491 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9500 files added (on-disk size: 0 KB)
0015.537 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9600 files added (on-disk size: 0 KB)
0015.575 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9700 files added (on-disk size: 0 KB)
0015.612 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9800 files added (on-disk size: 0 KB)
0015.657 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 9900 files added (on-disk size: 0 KB)
0015.704 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10000 files added (on-disk size: 0 KB)
0015.761 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10100 files added (on-disk size: 0 KB)
0015.797 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10200 files added (on-disk size: 0 KB)
0015.830 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10300 files added (on-disk size: 0 KB)
0015.863 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10400 files added (on-disk size: 0 KB)
0015.896 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10500 files added (on-disk size: 0 KB)
0015.926 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10600 files added (on-disk size: 0 KB)
0015.957 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10700 files added (on-disk size: 0 KB)
0015.993 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10800 files added (on-disk size: 0 KB)
0016.024 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 10900 files added (on-disk size: 0 KB)
0016.068 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 11000 files added (on-disk size: 0 KB)
0016.108 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 11100 files added (on-disk size: 0 KB)
0016.142 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 11200 files added (on-disk size: 0 KB)
0016.187 (0) Zip: backup_2025-11-23-0814_9Smart_e689ee98beb1-plugins.zip.tmp: 11300 files added (on-disk size: 0 KB)
